točka,vrsta
Pri treh macesnih,
Prisank / Prisojnik,vrh
Pristovški Storžič / Kärntner Storschitz,vrh
Prvi Vogel,vrh
Pršivec,vrh
Psinski vrh / Sinacher Gupf ,vrh
Ptičji vrh,vrh
Pungartska gora,vrh
Pusti Rovt,planina
RIS Dolina (Dovžanova soteska),
Radojč,vrh
Ramšakov vrh,vrh
Raskovec,vrh
Razor,vrh
Račka vrata,
Rdeči rob,vrh
Rekaršica,sedlo
Ribenska gora,vrh
Rifugio Brunner,koča
Rifugio Cinque Punte,bivak
Rifugio Corsi,koča
Rifugio Gilberti,koča
Rifugio Grego,koča
Rifugio Pellarini,koča
Rifugio Zacchi,koča
Rifugio di Brazza,koča
Rifugio di Brazza,bivak
Rigeljc,vrh
Rigljica,vrh
Rio Bianco / Beli potok,slap
Rjavca / Rjautza,vrh
Rjavina,vrh
Rjavo jezero,jezero
Rjavčki vrh (Planinšca),vrh
Robanova planina,planina
Robič,vrh
Roblekov dom na Begunjščici,koča
Roblekov dom na Begunjščici,bivak
Roblekov dom na Begunjščici,planina
Roblekova planina,sedlo
Roblekova planina,planina
Rodica,vrh
Rogljica,vrh
Rokov vrh / Rochusberg,vrh
Rombon,vrh
Rovt Vrse,planina
Rožca,sedlo
Rožca,planina
Rudijev dom na Donački gori,koča
Rudnica,vrh
Ruska kapelica,cerkev
Rutarski Vršič,vrh
Ruš,vrh
Rušnata Mlinarica,vrh
Rušnata glava,vrh
Rušnati vrh,vrh
Rušni vrh,vrh
Rzenik,vrh
Rž,vrh
Sankaška koča,koča
Sebenje,
Senčnica Josipine Turnograjske,vrh
Setiče/Freiberg,vrh
Sevčnik,vrh
Skala,vrh
Skalni vrh (Vodemla),vrh
Skubrov vrh,vrh
Skuta,vrh
Skutman,vrh
Skutnik /Monte Guarda,vrh
Skutnik/Torre Guarda,vrh
Slap Beri,slap
Slap Boka,slap
Slap Mostnice,slap
Slap Orglice,slap
Slap Palenk,slap
Slap Parabola,jezero
Slap Parabola,slap
Slap Peračica,jezero
Slap Peračica,slap
Slap Peričnik - spodnji slap,slap
Slap Peričnik - zgornji slap,slap
Slap Savica,jezero
Slap Savica,slap
Slap Slatenik,slap
Slap Sopota (Soupat),slap
Slap Suha,slap
Slap Virje,jezero
Slap Virje,slap
Slap Zaročenca,slap
Slap pod Gozdašnico,slap
Slap pod Kurico,slap
Slap Čedca,slap
Slap Šum v Blejskem Vintgarju,slap
Slapišče pod Kalvarijo,slap
Slapovi Dobršnik,slap
Slapovi v Preski,slap
Slatna,vrh
Slatnik (jugovzhodni vrh),vrh
Slatnik (severozahodni vrh),vrh
Sleme,vrh
Slemenova špica,vrh
Slemenova špica,planina
Smodivnik,vrh
Smokuški vrh,vrh
Smolnik,vrh
Smolnik,vrh
Smrekovec,vrh
Smučarski dom Črni vrh,koča
Snežna jama na Mežakli,
Snežnik (nad Koprivno),vrh
Soteska Čepa/Tscheppaschlucht,
Sovna glava,vrh
Speleološki bivak Modonutti - Savoia,sedlo
Speleološki bivak Modonutti - Savoia,bivak
Spodnja Vrbanova špica,vrh
Spodnje Kriško jezero,jezero
Spodnje Mangartsko jezero,koča
Spodnje Mangartsko jezero,jezero
Spodnji Goreljek (Pokljuka),planina
